state,x,y
Jammu & Kashmir,-130,300
Andhra Pradesh,-73,-210
Arunachal Pradesh,310,160
Assam,240,105
Bihar,90,80
Chhattisgarh,40,-20
Goa,-205,-192
Gujarat,-250,0
Haryana,-145,175
Himachal Pradesh,-80,240
Jharkhand,73,28
Karnataka,-162,-210
Kerala,-150,-310
Madhya Pradesh,-90,0
Maharashtra,-150,-80
Manipur,283,60
Meghalaya,200,80
Mizoram,268,20
Nagaland,300,100
Odisha,65,-65
Punjab,-150,215
Rajasthan,-200,100
Sikkim,160,125
Tamil Nadu,-90,-310
Telangana,-70,-130
Tripura,240,30
Uttar Pradesh,-55,120
Uttarakhand,-55,190
West Bengal,150,15